VIN,Year,Make,Model,Current price,Current price to market %,DOL,Mileage,Total VDPs (lifetime),Total sales opportunities (lifetime)
2GCUDEED6R1169312,2024,CHEVROLET,SILVERADO 1500,"$45,998 ",96%,81,"24,492",23,7
3C63R5CL6SG502961,2025,RAM,2500,"$62,268 ",96%,204,13,484,9
JTDACACU3T3055898,2026,TOYOTA,PRIUS PLUG-IN HYBRID,"$38,366 ",97%,75,8,69,1
7YAKRDDC4SY019237,2025,HYUNDAI,IONIQ 5,"$59,663 ",103%,155,18,141,0
3CZRZ2H57TM725888,2026,HONDA,HR-V,"$31,405 ",102%,28,0,2,0
5TDACAB51TS41E209,2026,TOYOTA,GRAND HIGHLANDER,"$59,498 ",106%,11,0,13,0
1C6RJTAG9SL540148,2025,JEEP,GLADIATOR,"$42,338 ",91%,82,33,58,1
2T3K1RFV1SC347866,2025,TOYOTA,RAV4,"$32,009 ",99%,43,8,9,0
7YAKRDDC9SY008122,2025,HYUNDAI,IONIQ 5,"$59,280 ",102%,223,22,199,0
1HGCY1F45SA060036,2025,HONDA,ACCORD SEDAN,"$31,710 ",101%,26,5,49,0
JTJMB7CX2N4011706,2022,LEXUS,LX,"$89,990 ",102%,22,"35,418",66,1
1HGCY1F42SA051231,2025,HONDA,ACCORD SEDAN,"$32,165 ",102%,50,5,27,0
JTMEB3FVXRD227643,2024,TOYOTA,RAV4 PRIME,"$46,588 ",101%,29,"24,030",50,0
2T3P1RFVXSW41G126,2025,TOYOTA,RAV4,"$35,504 ",98%,11,0,8,0
3C6MRVSG1RE122716,2024,RAM,PROMASTER CARGO VAN,"$50,303 ",93%,500,17,104,7
7SVAAABA4TX075850,2026,TOYOTA,SEQUOIA,"$84,210 ",100%,75,0,0,0
1GCPTDEK5R1232172,2024,CHEVROLET,COLORADO,"$41,994 ",102%,34,"14,176",46,1
KNDNE5KA7T6104240,2026,KIA,CARNIVAL HYBRID,"$51,725 ",101%,46,8,16,2
2T2BAMCA8SC117024,2025,LEXUS,RX,"$63,439 ",105%,40,3,76,5
4T3RWRFV2SU201779,2025,TOYOTA,RAV4,"$35,889 ",95%,43,8,10,0
2C4RC1BG1TR152541,2026,CHRYSLER,PACIFICA,"$40,632 ",91%,58,10,68,0
5J8YE1H81PL034804,2023,ACURA,MDX,"$39,495 ",100%,50,"82,622",272,1
2C4RC1BG1TR152538,2026,CHRYSLER,PACIFICA,"$40,334 ",90%,61,9,69,0
KM8JEDD14SU327427,2025,HYUNDAI,TUCSON HYBRID,"$42,359 ",101%,166,35,172,0
58ADA1C19SU074929,2025,LEXUS,ES,"$51,519 ",102%,25,5,29,2
JTEVA5BR4S5057427,2025,TOYOTA,4RUNNER,"$46,048 ",85%,26,0,13,3
2T2ADCAZ3SC030542,2025,LEXUS,NX,"$44,080 ",101%,61,50,"1,335",20
JTMABACA0PA023985,2023,TOYOTA,BZ4X,"$25,990 ",102%,8,"17,318",10,1
5FPYK3F78SB040129,2025,HONDA,RIDGELINE,"$49,985 ",106%,84,5,28,0
1C4HJXEGXMW712551,2021,JEEP,WRANGLER,"$28,877 ",100%,31,"85,482",158,0
1C4PJXDG0SW583312,2025,JEEP,WRANGLER,"$50,140 ",104%,34,254,96,0
1C4PJXDG7SW625443,2025,JEEP,WRANGLER,"$45,595 ",94%,89,27,147,1
JTDAAAAF8T3044289,2026,TOYOTA,CROWN,"$47,939 ",99%,11,0,6,0
4T1DAACK0SU641965,2025,TOYOTA,CAMRY,"$33,063 ",97%,75,8,89,7
5TDDCRFH1GS019206,2016,TOYOTA,HIGHLANDER HYBRID,"$24,994 ",100%,17,"90,407",67,7
5XYC4DJC2SG007580,2025,KIA,EV6,"$58,800 ",106%,99,8,135,2
KNDCR3LEXS5262545,2025,KIA,NIRO,"$32,614 ",106%,174,8,264,2
4T1DAACK0TU42B635,2026,TOYOTA,CAMRY,"$30,514 ",87%,11,0,8,0
5XYC44JA6SG006799,2025,KIA,EV6,"$54,187 ",106%,89,8,96,4
LRBFZME41SD007231,2025,BUICK,ENVISION,"$46,395 ",103%,327,6,32,3
2T2BAMCA1SC119262,2025,LEXUS,RX,"$57,600 ",95%,24,4,59,2
KNDNE5KA5T6112644,2026,KIA,CARNIVAL HYBRID,"$55,350 ",108%,24,8,4,1
1C4RJFAG8FC214504,2015,JEEP,GRAND CHEROKEE,"$11,998 ",100%,3,"130,417",10,0
JTJTBCDX9S5060135,2025,LEXUS,GX,"$86,643 ",113%,27,6,968,11
4T1DAACK0SU647362,2025,TOYOTA,CAMRY,"$31,487 ",92%,61,8,16,0
KM8HCCAB9SU234821,2025,HYUNDAI,KONA,"$30,601 ",102%,320,14,245,0
JTDB4MEE7T3034156,2026,TOYOTA,COROLLA,"$24,229 ",98%,11,0,3,0
1GYKNBR43LZ206158,2020,CADILLAC,XT5,"$19,997 ",92%,67,"75,538",934,18
5TDKBRCH9SS686791,2025,TOYOTA,HIGHLANDER,"$51,903 ",101%,43,8,5,0
2T3P1RFV7SW593566,2025,TOYOTA,RAV4,"$35,504 ",98%,43,8,8,0
7YAMUFS34TY002851,2026,HYUNDAI,IONIQ 9,"$67,887 ",102%,134,12,77,0
1C4RJKAG2S8743839,2025,JEEP,GRAND CHEROKEE L,"$38,702 ",87%,45,11,29,0
